N,chain_strength,n_runs,mean_cbf,std_cbf,mean_phys_qubits,mean_overhead
10,0.5,18,0.55,0.05144957554275264,16.0,1.6
10,1.0,18,0.55,0.05144957554275264,16.0,1.6
10,2.0,18,0.5301917989417988,0.07253513932379836,16.0,1.6
20,0.5,18,0.7850462962962963,0.013842815738395695,51.0,2.55
20,1.0,18,0.7683454585537918,0.006026603610420954,51.0,2.55
20,2.0,18,0.713284447034447,0.022896844706233963,51.0,2.55
30,0.5,18,0.8284158331380554,0.012299675836034083,107.0,3.566666666666667
30,1.0,18,0.8218067909186331,0.013223191083365749,107.0,3.566666666666667
30,2.0,18,0.8097308041305626,0.02448828183454769,107.0,3.566666666666667
50,0.5,18,0.9048008474175302,0.017551220553281573,297.5,5.95
50,1.0,18,0.8945330995737376,0.023591019457568245,297.5,5.95
50,2.0,18,0.8823585731085555,0.022117943864964292,297.5,5.95
80,0.5,18,0.9551182937613779,0.0020496344358839165,750.0,9.375
80,1.0,18,0.9340360889415487,0.010942259784640748,750.0,9.375
80,2.0,18,0.9224842179249824,0.011457073994618636,750.0,9.375
