source,solver,N,family,time_limit_s,n_runs,objective_min,objective_max,objective_range,objective_std,n_unique_objectives,identical
b2_budget_sweep,hybrid_bqm,50,block,5,1,-0.3631890006172729,-0.3631890006172729,0.0,0.0,1,True
b2_budget_sweep,hybrid_cqm,50,block,5,1,-0.48822336429122026,-0.48822336429122026,0.0,0.0,1,True
b2_budget_sweep,hybrid_bqm,50,block,30,1,-0.3854952403522802,-0.3854952403522802,0.0,0.0,1,True
b2_budget_sweep,hybrid_cqm,50,block,30,1,-0.48822336429122026,-0.48822336429122026,0.0,0.0,1,True
b2_budget_sweep,hybrid_bqm,50,block,60,1,-0.4213451404587084,-0.4213451404587084,0.0,0.0,1,True
b2_budget_sweep,hybrid_cqm,50,block,60,1,-0.48822336429122026,-0.48822336429122026,0.0,0.0,1,True
b2_budget_sweep,hybrid_bqm,50,block,180,1,-0.4592715628353974,-0.4592715628353974,0.0,0.0,1,True
b2_budget_sweep,hybrid_cqm,50,block,180,1,-0.48822336429122026,-0.48822336429122026,0.0,0.0,1,True
b2_budget_sweep,hybrid_bqm,50,block,300,1,-0.4599422773472899,-0.4599422773472899,0.0,0.0,1,True
b2_budget_sweep,hybrid_cqm,50,block,300,1,-0.48822336429122026,-0.48822336429122026,0.0,0.0,1,True
b2_budget_sweep,hybrid_bqm,100,block,5,1,0.4083557790363379,0.4083557790363379,0.0,0.0,1,True
b2_budget_sweep,hybrid_cqm,100,block,5,1,-0.19504071010959945,-0.19504071010959945,0.0,0.0,1,True
b2_budget_sweep,hybrid_bqm,100,block,30,1,-0.003090683135678063,-0.003090683135678063,0.0,0.0,1,True
b2_budget_sweep,hybrid_cqm,100,block,30,1,-0.19504071010959945,-0.19504071010959945,0.0,0.0,1,True
b2_budget_sweep,hybrid_bqm,100,block,60,1,0.20039774421007683,0.20039774421007683,0.0,0.0,1,True
b2_budget_sweep,hybrid_cqm,100,block,60,1,-0.19504071010959945,-0.19504071010959945,0.0,0.0,1,True
b2_budget_sweep,hybrid_bqm,100,block,180,1,-0.11870550875656449,-0.11870550875656449,0.0,0.0,1,True
b2_budget_sweep,hybrid_cqm,100,block,180,1,-0.19504071010959945,-0.19504071010959945,0.0,0.0,1,True
b2_budget_sweep,hybrid_bqm,100,block,300,1,-0.19020168498972723,-0.19020168498972723,0.0,0.0,1,True
b2_budget_sweep,hybrid_cqm,100,block,300,1,-0.19504071010959945,-0.19504071010959945,0.0,0.0,1,True
b2_budget_sweep,hybrid_bqm,200,block,5,1,4.655214842345234,4.655214842345234,0.0,0.0,1,True
b2_budget_sweep,hybrid_cqm,200,block,5,1,2.043781529275822,2.043781529275822,0.0,0.0,1,True
